BE_1 BE_2 BE_3 BE_4 BE_5 BE_6 BE_7 BE_8 BE_9 BE_10 BE_11 BE_12 BE_13 BE_14 BE_15 BE_16 BE_17 TE
0 0 0 1 0 0 0 0 0 1 0 0 1 0 0 0 0 1
0 0 0 1 0 0 0 0 0 1 1 0 0 0 0 0 0 1
0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 1
0 0 0 1 0 0 0 0 1 0 0 0 0 0 1 0 0 1
0 0 0 1 0 0 0 0 1 0 0 0 0 1 0 0 0 1
0 0 0 1 0 0 0 0 1 0 0 0 1 0 0 0 0 1
0 0 0 1 0 0 0 0 1 1 0 0 0 0 0 0 0 1
0 0 0 1 0 0 0 0 1 1 1 0 0 0 0 0 0 1
0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 1
0 0 0 1 0 0 0 1 0 1 0 0 0 0 0 0 0 1
0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 1
0 0 0 1 1 0 0 0 0 0 0 0 0 0 1 0 0 1
0 0 0 1 1 0 0 0 0 0 0 0 0 1 0 0 0 1
0 0 0 1 1 0 0 0 0 0 1 0 0 0 0 0 0 1
0 0 0 1 1 0 0 0 0 1 0 0 0 0 0 0 0 1
0 0 0 1 1 0 0 0 1 0 0 0 0 0 0 0 0 1
0 0 0 1 1 0 0 0 1 0 0 0 0 0 1 0 0 1
0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1
0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1
0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1
0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1
0 0 1 1 0 0 0 0 0 1 0 0 0 0 1 0 0 1
0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
