time_hours,BE1_A(t),BE2_A(t),BE3_A(t),BE4_A(t)
600.0,0.83875,0.8275,0.7125,0.9375
605.0,0.8325,0.84,0.72125,0.9325
610.0,0.8325,0.8362499999999999,0.6975,0.94
615.0,0.8375,0.8275,0.71,0.94375
620.0,0.82125,0.8325,0.69625,0.94125
625.0,0.81125,0.8375,0.6925,0.9425
630.0,0.81,0.83375,0.69625,0.94625
635.0,0.8049999999999999,0.8325,0.7150000000000001,0.9425
640.0,0.81375,0.84625,0.72875,0.9475
645.0,0.8200000000000001,0.8425,0.73125,0.94875
650.0,0.82375,0.835,0.7375,0.94375
655.0,0.8225,0.835,0.7175,0.94375
660.0,0.82125,0.8375,0.7175,0.95
665.0,0.82125,0.83,0.7112499999999999,0.95
670.0,0.82375,0.83375,0.7224999999999999,0.9475
675.0,0.83125,0.8362499999999999,0.7324999999999999,0.95625
680.0,0.82625,0.83375,0.72125,0.95875
685.0,0.8275,0.83,0.73125,0.94875
690.0,0.83375,0.8275,0.7362500000000001,0.95125
695.0,0.8375,0.82625,0.725,0.95
700.0,0.8275,0.83375,0.7275,0.9525
705.0,0.8200000000000001,0.83375,0.725,0.95625
710.0,0.82375,0.82875,0.725,0.96
715.0,0.825,0.835,0.70875,0.95625
720.0,0.83125,0.83375,0.71625,0.96375
725.0,0.83875,0.825,0.70375,0.965
730.0,0.83,0.83375,0.71875,0.965
735.0,0.83375,0.8325,0.7150000000000001,0.96625
740.0,0.82125,0.83375,0.73,0.9675
745.0,0.82375,0.83375,0.7175,0.965
750.0,0.82375,0.8475,0.72,0.9575
755.0,0.84,0.83,0.7262500000000001,0.95375
760.0,0.82625,0.82875,0.7175,0.94125
765.0,0.8512500000000001,0.82875,0.71875,0.94625
770.0,0.84375,0.83,0.7175,0.94125
775.0,0.83,0.815,0.71875,0.9425
780.0,0.8275,0.81625,0.7324999999999999,0.95625
785.0,0.82625,0.8225,0.725,0.955
790.0,0.81875,0.82375,0.7224999999999999,0.95125
795.0,0.82375,0.81,0.7075,0.9475
800.0,0.8375,0.82125,0.72125,0.94625
805.0,0.8375,0.81,0.71375,0.9375
810.0,0.835,0.81875,0.7125,0.93875
815.0,0.8362499999999999,0.82125,0.7262500000000001,0.94375
820.0,0.82375,0.8275,0.72375,0.945
825.0,0.8175,0.8375,0.72375,0.94875
830.0,0.815,0.84375,0.71,0.95125
835.0,0.8200000000000001,0.84125,0.71375,0.95375
840.0,0.8275,0.83375,0.71875,0.95
845.0,0.8275,0.8425,0.7175,0.94875
850.0,0.8175,0.835,0.7262500000000001,0.93625
855.0,0.825,0.82875,0.7224999999999999,0.94
860.0,0.81625,0.8225,0.71375,0.94375
865.0,0.82625,0.81625,0.7150000000000001,0.9425
870.0,0.83125,0.8049999999999999,0.71,0.95
875.0,0.84375,0.8225,0.7025,0.95125
880.0,0.84,0.80875,0.7150000000000001,0.95
885.0,0.835,0.81875,0.71875,0.95
890.0,0.83,0.825,0.7025,0.9575
895.0,0.8225,0.84,0.71,0.96125
900.0,0.8200000000000001,0.83,0.70875,0.965
905.0,0.8325,0.835,0.7,0.965
910.0,0.835,0.85,0.7025,0.9575
915.0,0.825,0.84375,0.71,0.95125
920.0,0.82125,0.8375,0.71875,0.95125
925.0,0.81,0.8275,0.73875,0.94
930.0,0.81125,0.8325,0.74375,0.94125
935.0,0.81375,0.825,0.745,0.945
940.0,0.82875,0.83,0.74875,0.945
945.0,0.84125,0.8275,0.73375,0.94625
950.0,0.85,0.8275,0.73,0.95
955.0,0.84,0.83125,0.7075,0.95
960.0,0.8375,0.8175,0.71375,0.9525
965.0,0.8362499999999999,0.8075,0.71,0.96
970.0,0.8225,0.79375,0.7175,0.95875
975.0,0.8275,0.8025,0.71875,0.9575
980.0,0.835,0.80125,0.7424999999999999,0.9475
985.0,0.8325,0.8025,0.73125,0.94875
990.0,0.84375,0.815,0.7112499999999999,0.94375
995.0,0.85375,0.825,0.7112499999999999,0.9525
1000.0,0.8475,0.82875,0.69625,0.95375
1005.0,0.845,0.84,0.6912499999999999,0.955
1010.0,0.84,0.835,0.6975,0.9575
1015.0,0.81125,0.8362499999999999,0.6925,0.95375
1020.0,0.8125,0.84375,0.6975,0.95125
1025.0,0.80875,0.83375,0.7,0.95
1030.0,0.8200000000000001,0.8375,0.725,0.9575
1035.0,0.83,0.83375,0.72875,0.945
1040.0,0.84875,0.855,0.73375,0.94875
1045.0,0.835,0.8625,0.72875,0.94625
1050.0,0.8425,0.85625,0.71625,0.9475
1055.0,0.83,0.85875,0.6950000000000001,0.9375
1060.0,0.81875,0.8575,0.7025,0.95
1065.0,0.81875,0.8375,0.71625,0.94875
1070.0,0.82125,0.83,0.7224999999999999,0.95
1075.0,0.825,0.82125,0.72375,0.95
1080.0,0.84,0.8275,0.735,0.96375
1085.0,0.84875,0.8225,0.7275,0.9625
1090.0,0.855,0.8325,0.7112499999999999,0.96
1095.0,0.86,0.84875,0.71625,0.9575
1100.0,1.0,1.0,1.0,1.0
