Timestamp,Component,Description,Fault_Code,Severity,Status,Value
2025-01-12 11:23:18,Rack_Structure_Fault,Rack Structure Fault fault detected.,RA_453,Medium,Cleared,SimValue_73
2025-01-13 10:57:09,PV_Broken_Cell,PV Broken Cell fault detected.,PV_231,High,Active,SimValue_89
2025-01-13 14:57:09,PV_Broken_Cell,PV Broken Cell fault detected.,PV_231,High,Cleared,SimValue_89
2025-01-13 18:51:57,PV_Grounding_System_Fault,PV Grounding System Fault fault detected.,PV_560,High,Active,SimValue_36
2025-01-13 22:51:57,PV_Grounding_System_Fault,PV Grounding System Fault fault detected.,PV_560,High,Cleared,SimValue_36
2025-01-14 06:06:53,PV_Broken_Interconnect,PV Broken Interconnect fault detected.,PV_673,High,Active,SimValue_43
2025-01-14 09:52:34,Rack_Structure_Fault,Rack Structure Fault fault detected.,RA_710,Medium,Active,SimValue_34
2025-01-14 10:31:23,PV_Broken_Cell,PV Broken Cell fault detected.,PV_844,High,Active,SimValue_30
2025-01-14 11:31:23,PV_Broken_Cell,PV Broken Cell fault detected.,PV_844,High,Cleared,SimValue_30
2025-01-14 12:06:53,PV_Broken_Interconnect,PV Broken Interconnect fault detected.,PV_673,High,Cleared,SimValue_43
2025-01-14 17:52:34,Rack_Structure_Fault,Rack Structure Fault fault detected.,RA_710,Medium,Cleared,SimValue_34
2025-01-15 11:51:21,PV_Broken_Cell,PV Broken Cell fault detected.,PV_198,High,Active,SimValue_84
2025-01-15 12:51:41,Rack_Structure_Fault,Rack Structure Fault fault detected.,RA_160,Medium,Active,SimValue_38
2025-01-15 15:51:41,Rack_Structure_Fault,Rack Structure Fault fault detected.,RA_160,Medium,Cleared,SimValue_38
2025-01-15 23:51:21,PV_Broken_Cell,PV Broken Cell fault detected.,PV_198,High,Cleared,SimValue_84
2025-01-17 19:00:13,Fuse_Improper_Maintenance,Fuse Improper Maintenance fault detected.,FU_106,Medium,Active,SimValue_23
2025-01-18 01:22:42,PV_Shading,PV Shading fault detected.,PV_545,Low,Active,SimValue_35
2025-01-18 06:00:13,Fuse_Improper_Maintenance,Fuse Improper Maintenance fault detected.,FU_106,Medium,Cleared,SimValue_23
2025-01-18 07:22:42,PV_Shading,PV Shading fault detected.,PV_545,Low,Cleared,SimValue_35
2025-01-19 07:37:39,PV_Solder_Bond_Failure,PV Solder Bond Failure fault detected.,PV_526,High,Active,SimValue_77
2025-01-19 10:37:39,PV_Solder_Bond_Failure,PV Solder Bond Failure fault detected.,PV_526,High,Cleared,SimValue_77
2025-01-20 01:47:48,PV_Short_Open_Circuit,PV Short Open Circuit fault detected.,PV_810,Medium,Active,SimValue_24
2025-01-20 04:47:48,PV_Short_Open_Circuit,PV Short Open Circuit fault detected.,PV_810,Medium,Cleared,SimValue_24
2025-01-20 07:10:44,Encapsulant_Fault,Encapsulant Fault fault detected.,EN_146,Medium,Active,SimValue_72
2025-01-20 11:10:44,Encapsulant_Fault,Encapsulant Fault fault detected.,EN_146,Medium,Cleared,SimValue_72
2025-01-20 18:06:22,PV_Shading,PV Shading fault detected.,PV_455,Low,Active,SimValue_34
2025-01-21 04:06:22,PV_Shading,PV Shading fault detected.,PV_455,Low,Cleared,SimValue_34
2025-01-21 07:13:37,PV_Broken_Cell,PV Broken Cell fault detected.,PV_517,High,Active,SimValue_65
2025-01-21 16:13:37,PV_Broken_Cell,PV Broken Cell fault detected.,PV_517,High,Cleared,SimValue_65
2025-01-21 17:53:20,PV_Faulty_Bypass_Diode,PV Faulty Bypass Diode fault detected.,PV_714,Medium,Active,SimValue_86
2025-01-21 19:53:20,PV_Faulty_Bypass_Diode,PV Faulty Bypass Diode fault detected.,PV_714,Medium,Cleared,SimValue_86
2025-01-22 04:01:15,PV_Broken_Interconnect,PV Broken Interconnect fault detected.,PV_533,High,Active,SimValue_23
2025-01-22 05:12:44,PV_Grounding_System_Fault,PV Grounding System Fault fault detected.,PV_171,High,Active,SimValue_63
2025-01-22 10:12:44,PV_Grounding_System_Fault,PV Grounding System Fault fault detected.,PV_171,High,Cleared,SimValue_63
2025-01-22 12:35:34,PV_Broken_Cell,PV Broken Cell fault detected.,PV_678,High,Active,SimValue_16
2025-01-22 13:01:15,PV_Broken_Interconnect,PV Broken Interconnect fault detected.,PV_533,High,Cleared,SimValue_23
2025-01-22 14:54:43,PV_Short_Open_Circuit,PV Short Open Circuit fault detected.,PV_373,Medium,Active,SimValue_50
2025-01-22 20:35:34,PV_Broken_Cell,PV Broken Cell fault detected.,PV_678,High,Cleared,SimValue_16
2025-01-22 22:54:43,PV_Short_Open_Circuit,PV Short Open Circuit fault detected.,PV_373,Medium,Cleared,SimValue_50
2025-01-23 12:29:54,PV_Faulty_Bypass_Diode,PV Faulty Bypass Diode fault detected.,PV_725,Medium,Active,SimValue_79
2025-01-23 13:30:31,Encapsulant_Fault,Encapsulant Fault fault detected.,EN_834,Medium,Active,SimValue_96
2025-01-23 16:29:54,PV_Faulty_Bypass_Diode,PV Faulty Bypass Diode fault detected.,PV_725,Medium,Cleared,SimValue_79
2025-01-24 00:30:31,Encapsulant_Fault,Encapsulant Fault fault detected.,EN_834,Medium,Cleared,SimValue_96
2025-01-24 16:28:04,PV_Short_Open_Circuit,PV Short Open Circuit fault detected.,PV_172,Medium,Active,SimValue_38
2025-01-24 21:28:04,PV_Short_Open_Circuit,PV Short Open Circuit fault detected.,PV_172,Medium,Cleared,SimValue_38
2025-01-27 23:45:09,PV_Grounding_System_Fault,PV Grounding System Fault fault detected.,PV_854,High,Active,SimValue_41
2025-01-28 07:45:09,PV_Grounding_System_Fault,PV Grounding System Fault fault detected.,PV_854,High,Cleared,SimValue_41
2025-01-29 23:00:41,PV_Short_Open_Circuit,PV Short Open Circuit fault detected.,PV_863,Medium,Active,SimValue_82
2025-01-30 00:00:41,PV_Short_Open_Circuit,PV Short Open Circuit fault detected.,PV_863,Medium,Cleared,SimValue_82
2025-01-30 00:14:40,PV_Broken_Cell,PV Broken Cell fault detected.,PV_645,High,Active,SimValue_88
2025-01-30 06:14:40,PV_Broken_Cell,PV Broken Cell fault detected.,PV_645,High,Cleared,SimValue_88
2025-01-31 17:14:58,PV_Hot_Spot,PV Hot Spot fault detected.,PV_629,Medium,Active,SimValue_73
2025-02-01 03:14:58,PV_Hot_Spot,PV Hot Spot fault detected.,PV_629,Medium,Cleared,SimValue_73
2025-02-01 06:26:37,PV_Broken_Interconnect,PV Broken Interconnect fault detected.,PV_300,High,Active,SimValue_70
2025-02-01 10:21:21,PV_Shading,PV Shading fault detected.,PV_249,Low,Active,SimValue_74
2025-02-01 12:26:37,PV_Broken_Interconnect,PV Broken Interconnect fault detected.,PV_300,High,Cleared,SimValue_70
2025-02-01 14:21:21,PV_Shading,PV Shading fault detected.,PV_249,Low,Cleared,SimValue_74
2025-02-02 05:08:05,PV_Grounding_System_Fault,PV Grounding System Fault fault detected.,PV_888,High,Active,SimValue_77
2025-02-02 07:50:21,PV_Short_Open_Circuit,PV Short Open Circuit fault detected.,PV_173,Medium,Active,SimValue_31
2025-02-02 13:08:05,PV_Grounding_System_Fault,PV Grounding System Fault fault detected.,PV_888,High,Cleared,SimValue_77
2025-02-02 13:50:21,PV_Short_Open_Circuit,PV Short Open Circuit fault detected.,PV_173,Medium,Cleared,SimValue_31
2025-02-03 09:44:50,Encapsulant_Fault,Encapsulant Fault fault detected.,EN_107,Medium,Active,SimValue_36
2025-02-03 18:44:50,Encapsulant_Fault,Encapsulant Fault fault detected.,EN_107,Medium,Cleared,SimValue_36
2025-02-05 05:42:51,PV_Broken_Interconnect,PV Broken Interconnect fault detected.,PV_118,High,Active,SimValue_93
2025-02-05 07:42:51,PV_Broken_Interconnect,PV Broken Interconnect fault detected.,PV_118,High,Cleared,SimValue_93
2025-02-05 19:01:16,PV_Broken_Cell,PV Broken Cell fault detected.,PV_239,High,Active,SimValue_35
2025-02-05 23:01:16,PV_Broken_Cell,PV Broken Cell fault detected.,PV_239,High,Cleared,SimValue_35
2025-02-06 15:28:08,Rack_Structure_Fault,Rack Structure Fault fault detected.,RA_498,Medium,Active,SimValue_41
2025-02-07 02:28:08,Rack_Structure_Fault,Rack Structure Fault fault detected.,RA_498,Medium,Cleared,SimValue_41
2025-02-07 10:37:06,PV_Broken_Cell,PV Broken Cell fault detected.,PV_571,High,Active,SimValue_27
2025-02-07 16:37:06,PV_Broken_Cell,PV Broken Cell fault detected.,PV_571,High,Cleared,SimValue_27
2025-02-07 20:25:22,PV_Broken_Interconnect,PV Broken Interconnect fault detected.,PV_926,High,Active,SimValue_90
2025-02-08 04:05:29,PV_Shading,PV Shading fault detected.,PV_685,Low,Active,SimValue_42
2025-02-08 07:25:22,PV_Broken_Interconnect,PV Broken Interconnect fault detected.,PV_926,High,Cleared,SimValue_90
2025-02-08 10:05:29,PV_Shading,PV Shading fault detected.,PV_685,Low,Cleared,SimValue_42
2025-02-08 17:31:15,PV_Short_Open_Circuit,PV Short Open Circuit fault detected.,PV_340,Medium,Active,SimValue_20
2025-02-08 18:06:50,Encapsulant_Fault,Encapsulant Fault fault detected.,EN_165,Medium,Active,SimValue_13
2025-02-09 02:06:50,Encapsulant_Fault,Encapsulant Fault fault detected.,EN_165,Medium,Cleared,SimValue_13
2025-02-09 04:31:15,PV_Short_Open_Circuit,PV Short Open Circuit fault detected.,PV_340,Medium,Cleared,SimValue_20
2025-02-09 09:35:07,PV_Shading,PV Shading fault detected.,PV_594,Low,Active,SimValue_24
2025-02-09 10:35:07,PV_Shading,PV Shading fault detected.,PV_594,Low,Cleared,SimValue_24
2025-02-10 02:41:26,PV_Hot_Spot,PV Hot Spot fault detected.,PV_576,Medium,Active,SimValue_38
2025-02-10 11:12:35,Rack_Structure_Fault,Rack Structure Fault fault detected.,RA_267,Medium,Active,SimValue_59
2025-02-10 12:20:05,PV_Broken_Cell,PV Broken Cell fault detected.,PV_627,High,Active,SimValue_78
2025-02-10 12:41:26,PV_Hot_Spot,PV Hot Spot fault detected.,PV_576,Medium,Cleared,SimValue_38
2025-02-10 14:12:35,Rack_Structure_Fault,Rack Structure Fault fault detected.,RA_267,Medium,Cleared,SimValue_59
2025-02-10 15:42:42,MCB_Faulty,MCB Faulty fault detected.,MC_481,High,Active,SimValue_14
2025-02-10 18:58:56,PV_Grounding_System_Fault,PV Grounding System Fault fault detected.,PV_899,High,Active,SimValue_21
2025-02-10 20:20:05,PV_Broken_Cell,PV Broken Cell fault detected.,PV_627,High,Cleared,SimValue_78
2025-02-10 21:58:56,PV_Grounding_System_Fault,PV Grounding System Fault fault detected.,PV_899,High,Cleared,SimValue_21
2025-02-10 23:42:42,MCB_Faulty,MCB Faulty fault detected.,MC_481,High,Cleared,SimValue_14
2025-02-12 00:53:24,PV_Grounding_System_Fault,PV Grounding System Fault fault detected.,PV_398,High,Active,SimValue_22
2025-02-12 03:53:24,PV_Grounding_System_Fault,PV Grounding System Fault fault detected.,PV_398,High,Cleared,SimValue_22
2025-02-12 19:44:44,Encapsulant_Fault,Encapsulant Fault fault detected.,EN_318,Medium,Active,SimValue_68
2025-02-13 06:44:44,Encapsulant_Fault,Encapsulant Fault fault detected.,EN_318,Medium,Cleared,SimValue_68
2025-02-14 08:51:30,PV_Broken_Cell,PV Broken Cell fault detected.,PV_708,High,Active,SimValue_47
2025-02-14 12:51:30,PV_Broken_Cell,PV Broken Cell fault detected.,PV_708,High,Cleared,SimValue_47
2025-02-14 16:37:09,Encapsulant_Fault,Encapsulant Fault fault detected.,EN_316,Medium,Active,SimValue_83
2025-02-14 19:37:09,Encapsulant_Fault,Encapsulant Fault fault detected.,EN_316,Medium,Cleared,SimValue_83
2025-02-15 02:50:50,PV_Hot_Spot,PV Hot Spot fault detected.,PV_335,Medium,Active,SimValue_31
2025-02-15 06:50:50,PV_Hot_Spot,PV Hot Spot fault detected.,PV_335,Medium,Cleared,SimValue_31
2025-02-16 15:29:24,Rack_Structure_Fault,Rack Structure Fault fault detected.,RA_960,Medium,Active,SimValue_36
2025-02-16 21:35:42,PV_Solder_Bond_Failure,PV Solder Bond Failure fault detected.,PV_139,High,Active,SimValue_31
2025-02-17 00:31:34,PV_Broken_Cell,PV Broken Cell fault detected.,PV_440,High,Active,SimValue_89
2025-02-17 03:29:24,Rack_Structure_Fault,Rack Structure Fault fault detected.,RA_960,Medium,Cleared,SimValue_36
2025-02-17 05:35:42,PV_Solder_Bond_Failure,PV Solder Bond Failure fault detected.,PV_139,High,Cleared,SimValue_31
2025-02-17 06:31:34,PV_Broken_Cell,PV Broken Cell fault detected.,PV_440,High,Cleared,SimValue_89
2025-02-17 20:55:31,PV_Broken_Interconnect,PV Broken Interconnect fault detected.,PV_768,High,Active,SimValue_67
2025-02-18 08:55:31,PV_Broken_Interconnect,PV Broken Interconnect fault detected.,PV_768,High,Cleared,SimValue_67
2025-02-18 12:12:32,PV_Broken_Cell,PV Broken Cell fault detected.,PV_916,High,Active,SimValue_72
2025-02-18 16:12:32,PV_Broken_Cell,PV Broken Cell fault detected.,PV_916,High,Cleared,SimValue_72
2025-02-19 04:17:19,Encapsulant_Fault,Encapsulant Fault fault detected.,EN_733,Medium,Active,SimValue_57
2025-02-19 06:17:19,Encapsulant_Fault,Encapsulant Fault fault detected.,EN_733,Medium,Cleared,SimValue_57
2025-02-23 16:00:29,PV_Broken_Interconnect,PV Broken Interconnect fault detected.,PV_879,High,Active,SimValue_18
2025-02-24 00:00:29,PV_Broken_Interconnect,PV Broken Interconnect fault detected.,PV_879,High,Cleared,SimValue_18
2025-02-27 22:31:41,PV_Solder_Bond_Failure,PV Solder Bond Failure fault detected.,PV_484,High,Active,SimValue_26
2025-02-28 01:31:41,PV_Solder_Bond_Failure,PV Solder Bond Failure fault detected.,PV_484,High,Cleared,SimValue_26
2025-02-28 09:48:03,Encapsulant_Fault,Encapsulant Fault fault detected.,EN_325,Medium,Active,SimValue_27
2025-02-28 10:29:54,PV_Broken_Cell,PV Broken Cell fault detected.,PV_784,High,Active,SimValue_50
2025-02-28 12:35:04,PV_Shading,PV Shading fault detected.,PV_790,Low,Active,SimValue_17
2025-02-28 16:29:54,PV_Broken_Cell,PV Broken Cell fault detected.,PV_784,High,Cleared,SimValue_50
2025-02-28 19:35:04,PV_Shading,PV Shading fault detected.,PV_790,Low,Cleared,SimValue_17
2025-02-28 19:48:03,Encapsulant_Fault,Encapsulant Fault fault detected.,EN_325,Medium,Cleared,SimValue_27
2025-03-01 19:09:47,Rack_Structure_Fault,Rack Structure Fault fault detected.,RA_171,Medium,Active,SimValue_70
2025-03-01 22:09:47,Rack_Structure_Fault,Rack Structure Fault fault detected.,RA_171,Medium,Cleared,SimValue_70
2025-03-02 23:33:16,PV_Broken_Interconnect,PV Broken Interconnect fault detected.,PV_734,High,Active,SimValue_99
2025-03-03 06:33:16,PV_Broken_Interconnect,PV Broken Interconnect fault detected.,PV_734,High,Cleared,SimValue_99
2025-03-03 19:05:06,PV_Grounding_System_Fault,PV Grounding System Fault fault detected.,PV_892,High,Active,SimValue_24
2025-03-03 22:05:06,PV_Grounding_System_Fault,PV Grounding System Fault fault detected.,PV_892,High,Cleared,SimValue_24
2025-03-04 06:26:59,Rack_Structure_Fault,Rack Structure Fault fault detected.,RA_593,Medium,Active,SimValue_31
2025-03-04 15:26:59,Rack_Structure_Fault,Rack Structure Fault fault detected.,RA_593,Medium,Cleared,SimValue_31
2025-03-07 15:04:51,PV_Solder_Bond_Failure,PV Solder Bond Failure fault detected.,PV_400,High,Active,SimValue_78
2025-03-07 23:04:51,PV_Solder_Bond_Failure,PV Solder Bond Failure fault detected.,PV_400,High,Cleared,SimValue_78
2025-03-08 01:19:24,PV_Shading,PV Shading fault detected.,PV_302,Low,Active,SimValue_88
2025-03-08 10:19:24,PV_Shading,PV Shading fault detected.,PV_302,Low,Cleared,SimValue_88
2025-03-08 22:46:10,Encapsulant_Fault,Encapsulant Fault fault detected.,EN_435,Medium,Active,SimValue_92
2025-03-09 06:46:10,Encapsulant_Fault,Encapsulant Fault fault detected.,EN_435,Medium,Cleared,SimValue_92
2025-03-09 09:55:56,PV_Broken_Cell,PV Broken Cell fault detected.,PV_343,High,Active,SimValue_14
2025-03-09 13:35:15,Rack_Structure_Fault,Rack Structure Fault fault detected.,RA_466,Medium,Active,SimValue_67
2025-03-09 15:55:56,PV_Broken_Cell,PV Broken Cell fault detected.,PV_343,High,Cleared,SimValue_14
2025-03-09 18:32:24,PV_Shading,PV Shading fault detected.,PV_961,Low,Active,SimValue_37
2025-03-09 22:35:15,Rack_Structure_Fault,Rack Structure Fault fault detected.,RA_466,Medium,Cleared,SimValue_67
2025-03-09 23:35:41,PV_Hot_Spot,PV Hot Spot fault detected.,PV_639,Medium,Active,SimValue_44
2025-03-10 04:32:24,PV_Shading,PV Shading fault detected.,PV_961,Low,Cleared,SimValue_37
2025-03-10 04:35:41,PV_Hot_Spot,PV Hot Spot fault detected.,PV_639,Medium,Cleared,SimValue_44
2025-03-10 05:52:27,PV_Broken_Cell,PV Broken Cell fault detected.,PV_797,High,Active,SimValue_97
2025-03-10 10:52:27,PV_Broken_Cell,PV Broken Cell fault detected.,PV_797,High,Cleared,SimValue_97
2025-03-10 13:05:04,PV_Grounding_System_Fault,PV Grounding System Fault fault detected.,PV_599,High,Active,SimValue_46
2025-03-10 23:26:35,Rack_Structure_Fault,Rack Structure Fault fault detected.,RA_411,Medium,Active,SimValue_69
2025-03-11 00:05:04,PV_Grounding_System_Fault,PV Grounding System Fault fault detected.,PV_599,High,Cleared,SimValue_46
2025-03-11 01:26:35,Rack_Structure_Fault,Rack Structure Fault fault detected.,RA_411,Medium,Cleared,SimValue_69
2025-03-11 21:18:24,PV_Broken_Cell,PV Broken Cell fault detected.,PV_636,High,Active,SimValue_61
2025-03-12 01:18:24,PV_Broken_Cell,PV Broken Cell fault detected.,PV_636,High,Cleared,SimValue_61
2025-03-12 10:29:19,Rack_Structure_Fault,Rack Structure Fault fault detected.,RA_238,Medium,Active,SimValue_42
2025-03-12 20:29:19,Rack_Structure_Fault,Rack Structure Fault fault detected.,RA_238,Medium,Cleared,SimValue_42
2025-03-13 09:04:15,PV_Grounding_System_Fault,PV Grounding System Fault fault detected.,PV_745,High,Active,SimValue_23
2025-03-13 18:04:15,PV_Grounding_System_Fault,PV Grounding System Fault fault detected.,PV_745,High,Cleared,SimValue_23
2025-03-14 09:06:58,PV_Broken_Interconnect,PV Broken Interconnect fault detected.,PV_870,High,Active,SimValue_90
2025-03-14 13:44:59,PV_Broken_Interconnect,PV Broken Interconnect fault detected.,PV_840,High,Active,SimValue_83
2025-03-14 17:44:59,PV_Broken_Interconnect,PV Broken Interconnect fault detected.,PV_840,High,Cleared,SimValue_83
2025-03-14 18:06:58,PV_Broken_Interconnect,PV Broken Interconnect fault detected.,PV_870,High,Cleared,SimValue_90
2025-03-15 12:30:49,PV_Grounding_System_Fault,PV Grounding System Fault fault detected.,PV_144,High,Active,SimValue_12
2025-03-16 00:30:49,PV_Grounding_System_Fault,PV Grounding System Fault fault detected.,PV_144,High,Cleared,SimValue_12
2025-03-16 10:59:04,Rack_Structure_Fault,Rack Structure Fault fault detected.,RA_548,Medium,Active,SimValue_49
2025-03-16 13:10:08,PV_Faulty_Bypass_Diode,PV Faulty Bypass Diode fault detected.,PV_834,Medium,Active,SimValue_98
2025-03-16 16:10:08,PV_Faulty_Bypass_Diode,PV Faulty Bypass Diode fault detected.,PV_834,Medium,Cleared,SimValue_98
2025-03-16 20:36:42,PV_Hot_Spot,PV Hot Spot fault detected.,PV_465,Medium,Active,SimValue_88
2025-03-16 22:59:04,Rack_Structure_Fault,Rack Structure Fault fault detected.,RA_548,Medium,Cleared,SimValue_49
2025-03-16 23:36:42,PV_Hot_Spot,PV Hot Spot fault detected.,PV_465,Medium,Cleared,SimValue_88
2025-03-17 12:10:19,Encapsulant_Fault,Encapsulant Fault fault detected.,EN_233,Medium,Active,SimValue_71
2025-03-18 00:10:19,Encapsulant_Fault,Encapsulant Fault fault detected.,EN_233,Medium,Cleared,SimValue_71
2025-03-18 15:20:57,PV_Shading,PV Shading fault detected.,PV_505,Low,Active,SimValue_99
2025-03-18 18:47:11,PV_Grounding_System_Fault,PV Grounding System Fault fault detected.,PV_811,High,Active,SimValue_83
2025-03-18 21:20:57,PV_Shading,PV Shading fault detected.,PV_505,Low,Cleared,SimValue_99
2025-03-19 03:31:36,PV_Short_Open_Circuit,PV Short Open Circuit fault detected.,PV_285,Medium,Active,SimValue_89
2025-03-19 03:47:11,PV_Grounding_System_Fault,PV Grounding System Fault fault detected.,PV_811,High,Cleared,SimValue_83
2025-03-19 12:31:36,PV_Short_Open_Circuit,PV Short Open Circuit fault detected.,PV_285,Medium,Cleared,SimValue_89
2025-03-20 00:35:11,PV_Shading,PV Shading fault detected.,PV_982,Low,Active,SimValue_31
2025-03-20 01:45:40,Rack_Structure_Fault,Rack Structure Fault fault detected.,RA_348,Medium,Active,SimValue_65
2025-03-20 02:35:11,PV_Shading,PV Shading fault detected.,PV_982,Low,Cleared,SimValue_31
2025-03-20 06:45:40,Rack_Structure_Fault,Rack Structure Fault fault detected.,RA_348,Medium,Cleared,SimValue_65
2025-03-20 18:06:28,PV_Solder_Bond_Failure,PV Solder Bond Failure fault detected.,PV_100,High,Active,SimValue_39
2025-03-20 22:06:28,PV_Solder_Bond_Failure,PV Solder Bond Failure fault detected.,PV_100,High,Cleared,SimValue_39
2025-03-21 00:04:03,PV_Shading,PV Shading fault detected.,PV_409,Low,Active,SimValue_66
2025-03-21 04:04:03,PV_Shading,PV Shading fault detected.,PV_409,Low,Cleared,SimValue_66
2025-03-22 05:02:28,PV_Hot_Spot,PV Hot Spot fault detected.,PV_178,Medium,Active,SimValue_53
2025-03-22 15:02:28,PV_Hot_Spot,PV Hot Spot fault detected.,PV_178,Medium,Cleared,SimValue_53
2025-03-23 10:37:21,Rack_Structure_Fault,Rack Structure Fault fault detected.,RA_744,Medium,Active,SimValue_13
2025-03-23 12:37:21,Rack_Structure_Fault,Rack Structure Fault fault detected.,RA_744,Medium,Cleared,SimValue_13
2025-03-24 12:57:34,PV_Shading,PV Shading fault detected.,PV_951,Low,Active,SimValue_46
2025-03-24 16:35:19,PV_Hot_Spot,PV Hot Spot fault detected.,PV_552,Medium,Active,SimValue_37
2025-03-24 18:57:34,PV_Shading,PV Shading fault detected.,PV_951,Low,Cleared,SimValue_46
2025-03-24 20:35:19,PV_Hot_Spot,PV Hot Spot fault detected.,PV_552,Medium,Cleared,SimValue_37
2025-03-25 17:42:26,Rack_Structure_Fault,Rack Structure Fault fault detected.,RA_780,Medium,Active,SimValue_42
2025-03-25 19:47:12,PV_Broken_Cell,PV Broken Cell fault detected.,PV_777,High,Active,SimValue_30
2025-03-25 23:42:26,Rack_Structure_Fault,Rack Structure Fault fault detected.,RA_780,Medium,Cleared,SimValue_42
2025-03-26 02:47:12,PV_Broken_Cell,PV Broken Cell fault detected.,PV_777,High,Cleared,SimValue_30
2025-03-26 04:08:29,PV_Broken_Cell,PV Broken Cell fault detected.,PV_767,High,Active,SimValue_21
2025-03-26 09:01:35,PV_Shading,PV Shading fault detected.,PV_146,Low,Active,SimValue_11
2025-03-26 10:08:29,PV_Broken_Cell,PV Broken Cell fault detected.,PV_767,High,Cleared,SimValue_21
2025-03-26 11:01:37,PV_Broken_Interconnect,PV Broken Interconnect fault detected.,PV_729,High,Active,SimValue_73
2025-03-26 13:01:35,PV_Shading,PV Shading fault detected.,PV_146,Low,Cleared,SimValue_11
2025-03-26 18:15:17,PV_Short_Open_Circuit,PV Short Open Circuit fault detected.,PV_665,Medium,Active,SimValue_78
2025-03-26 23:01:37,PV_Broken_Interconnect,PV Broken Interconnect fault detected.,PV_729,High,Cleared,SimValue_73
2025-03-27 02:15:17,PV_Short_Open_Circuit,PV Short Open Circuit fault detected.,PV_665,Medium,Cleared,SimValue_78
2025-03-27 02:48:11,PV_Broken_Interconnect,PV Broken Interconnect fault detected.,PV_682,High,Active,SimValue_17
2025-03-27 05:32:17,PV_Short_Open_Circuit,PV Short Open Circuit fault detected.,PV_627,Medium,Active,SimValue_61
2025-03-27 06:34:07,MCB_Faulty,MCB Faulty fault detected.,MC_136,High,Active,SimValue_18
2025-03-27 07:32:17,PV_Short_Open_Circuit,PV Short Open Circuit fault detected.,PV_627,Medium,Cleared,SimValue_61
2025-03-27 08:34:07,MCB_Faulty,MCB Faulty fault detected.,MC_136,High,Cleared,SimValue_18
